# times, noise
0.000000000000000000e+00 2.030866027030567907e-22
9.765625000000000000e-04 -2.854004669151526134e-22
1.953125000000000000e-03 4.584638938006969133e-22
2.929687500000000000e-03 5.761265919979560199e-23
3.906250000000000000e-03 -2.027993402065004310e-22
4.882812500000000000e-03 7.404279662550163603e-23
5.859375000000000000e-03 -5.695824019240269946e-24
6.835937500000000000e-03 -6.370727226998436517e-23
7.812500000000000000e-03 4.528823159006201804e-23
8.789062500000000000e-03 -1.848451315323992563e-22
9.765625000000000000e-03 -2.811354987351953753e-22
1.074218750000000000e-02 -1.294687417111271641e-22
1.171875000000000000e-02 -1.197890949279024555e-22
1.269531250000000000e-02 -1.534538067880112687e-22
1.367187500000000000e-02 -2.289250383151984049e-23
1.464843750000000000e-02 -1.546845478922937139e-22
1.562500000000000000e-02 -4.319820761542435101e-22
1.660156250000000000e-02 -9.842678994015287677e-23
1.757812500000000000e-02 2.933064321586024268e-22
1.855468750000000000e-02 1.342125625299330171e-22
1.953125000000000000e-02 -7.292627168544198793e-23
2.050781250000000000e-02 -1.864475764386799857e-22
2.148437500000000000e-02 6.812851579339637408e-23
2.246093750000000000e-02 1.886496739422303510e-22
2.343750000000000000e-02 -2.546643030820244621e-22
2.441406250000000000e-02 -2.132973396988998710e-24
2.539062500000000000e-02 1.945294641470806694e-22
2.636718750000000000e-02 3.367919904125848409e-22
2.734375000000000000e-02 2.254201179984625559e-22
2.832031250000000000e-02 -2.383149781136937617e-22
2.929687500000000000e-02 -2.190257932804409926e-22
3.027343750000000000e-02 -1.477559281181238836e-22
3.125000000000000000e-02 6.803796862051651340e-22
3.222656250000000000e-02 8.768368244720392069e-23
3.320312500000000000e-02 1.029205706712184427e-22
3.417968750000000000e-02 1.330141691070032571e-22
3.515625000000000000e-02 -1.104039821887988115e-22
3.613281250000000000e-02 6.700763303446318871e-25
3.710937500000000000e-02 -1.433090173803915003e-22
3.808593750000000000e-02 2.418556897014515784e-22
3.906250000000000000e-02 -1.016162645649804417e-22
4.003906250000000000e-02 3.000125171463228084e-23
4.101562500000000000e-02 4.220161743229072554e-22
4.199218750000000000e-02 1.195248133356014636e-22
4.296875000000000000e-02 -3.577714810293234002e-23
