# times, data, noise_only, signal_only
0.000000000000000000e+00 -1.869246746334427924e-25 -2.051736001893431642e-25 1.824892555590037471e-26
9.765625000000000000e-04 3.435002993209344971e-25 3.529944817603090380e-25 -9.494182439374558119e-27
1.953125000000000000e-03 -5.953982153836465401e-23 -5.950229751918592676e-23 -3.752401917872399553e-26
2.929687500000000000e-03 4.523981356703288470e-23 4.530451597427906879e-23 -6.470240724618438221e-26
3.906250000000000000e-03 3.670470417953689710e-23 3.679509522940499813e-23 -9.039104986809999394e-26
4.882812500000000000e-03 -1.701660737044957174e-23 -1.690311422740355272e-23 -1.134931430460187911e-25
5.859375000000000000e-03 8.959704474135024465e-23 8.973052707249554704e-23 -1.334823311453001400e-25
6.835937500000000000e-03 -5.101637744505319957e-23 -5.086694724409359421e-23 -1.494302009596068235e-25
7.812500000000000000e-03 9.278165840230339198e-23 9.294267609997550882e-23 -1.610176976721161005e-25
8.789062500000000000e-03 7.420814078052701930e-23 7.437570018053746857e-23 -1.675594000104435800e-25
9.765625000000000000e-03 -2.808121106082827881e-23 -2.791218423833205020e-23 -1.690268224962286569e-25
1.074218750000000000e-02 -9.736593199187867466e-24 -9.571534115518269550e-24 -1.650590836695982603e-25
1.171875000000000000e-02 4.191862301939545620e-23 4.207458442978249089e-23 -1.559614103870372105e-25
1.269531250000000000e-02 -5.072223700380729394e-23 -5.058053607104631108e-23 -1.417009327609844001e-25
1.367187500000000000e-02 -3.573369075071451027e-23 -3.561077655866131527e-23 -1.229141920531976184e-25
1.464843750000000000e-02 1.349108725819222977e-23 1.359098192722949383e-23 -9.989466903726387775e-26
1.562500000000000000e-02 -7.591265248286285415e-23 -7.583907632466720764e-23 -7.357615819565116094e-26
1.660156250000000000e-02 8.513175816186498905e-23 8.517625731182295961e-23 -4.449914995797317290e-26
1.757812500000000000e-02 8.483878665534884101e-23 8.485258944577227565e-23 -1.380279042343021528e-26
1.855468750000000000e-02 -1.215189665066131864e-23 -1.216970356397275931e-23 1.780691331144037045e-26
1.953125000000000000e-02 -1.272263741390158151e-22 -1.272754546116452076e-22 4.908047262939516760e-26
2.050781250000000000e-02 2.233771400430021398e-23 2.225843606365010431e-23 7.927794065011010176e-26
2.148437500000000000e-02 1.251592531590995629e-22 1.250520708444254852e-22 1.071823146740677511e-25
2.246093750000000000e-02 4.126020933605262464e-23 4.112807078097599007e-23 1.321385550766316752e-25
2.343750000000000000e-02 -1.361533284307967546e-22 -1.363063963533637731e-22 1.530679225670144540e-25
2.441406250000000000e-02 7.580363106340925255e-23 7.563410759382337540e-23 1.695234695858747152e-25
